"3087","Metro Airlines","Airlines","METRO AIR"
"3088","Croatia Air","Airlines","CROATIA AIR"
"3089","Transaero","Airlines","TRANSAERO"
"3090","Uni Airways","Airlines","UNIAIR"
"3094","Zambia Airways","Airlines","ZAMBIA AIR"
"3096","Air Zimbabwe","Airlines","AIR ZIMBABWE"
"3097","Spanair","Airlines","SPANAIR"
"3098","Asiana Airlines","Airlines","ASIANA AIR"
"3099","Cathay Pacific","Airlines","CATHAYPACAIR"
"3100","Malaysian Airline System","Airlines","MALAY AIR"
"3102","Iberia","Airlines","IBERIA AIR"
"3103","Garuda (Indonesia)","Airlines","GARUDA AIR"
"3106","Braathens S.A.F.E. (Norway)","Airlines","BRAATHENS"
"3110","WINGS AIRWAYS","Airlines","WINGS AIR"
"3111","British Midland","Airlines","BRMIDLANDAIR"
"3112","Windward Island","Airlines","WINDWRDISAIR"
"3115","TOWER AIR","Airlines","TOWERAIR"
"3117","Venezolana International de Aviacion","Airlines","VIASA"
"3118","VALLEY AIRLINES","Airlines","VALLEY AIR"
"3125","Tan Airlines","Airlines","TAN AIR"
"3126","TALAIR","Airlines","TALAIR"
"3127","Taca International","Airlines","TACAINTL AIR"
"3129","Surinam Airways","Airlines","SURINAM AIR"
"3130","Sunworld International Airways","Airlines","SUNWORLD AIR"
"3131","VLM Airlines","Airlines","VLM AIR"
"3132","Frontier Airlines","Airlines","FRONTIER AIR"
"3133","SUNBELT AIRLINES","Airlines","SUNBELT AIR"
"3135","SUDAN AIRWAYS","Airlines","SUDAN AIR"
"3136","Qatar Airways Company W.L.L.","Airlines","QATAR AIR"
"3137","SINGLETON","Airlines","SINGLETONAIR"
"3138","SIMMONS AIRLINES","Airlines","SIMMONS AIR"
"3143","SCENIC AIRLINES","Airlines","SCENIC AIR"
"3144","Virgin Atlantic","Airlines","VIRGINATLAIR"
"3145","SAN JUAN AIRLINES","Airlines","SAN JUAN AIR"
"3146","Luxair","Airlines","LUXAIR"
"3148","Air Littoral, S.A.","Airlines","AIRLITTORAL"
"3151","Air Zaire","Airlines","AIR ZAIRE"
"3154","PRINCEVILLE","Airlines","PRINCVLLEAIR"
"3156","GO FLY Ltd.","Airlines","GOFLY"
"3159","Provincetown-Boston Airways","Airlines","PBA AIRLINE"
"3161","All Nippon Airways","Airlines","ANA AIR"
"3164","Norontair","Airlines","NORONTAIR"
"3165","NEW YORK HELICOPTER","Airlines","NY HELI"
"3167","Aero Continente","Airlines","AEROCONTINEN"
"3170","MOUNT COOK","Airlines","MT COOK AIR"
"3171","Canadian Airlines","Airlines","CANADIAN AIR"
"3172","Nation Air","Airlines","NATIONAIR"
"3174","JetBlue Airways","Airlines","JETBLUE"
"3175","Middle East Air","Airlines","MIDEAST AIR"
"3176","METROFLIGHT AIRLINES","Airlines","METROFLT AIR"
"3177","AirTran Airways","Airlines","AIRTRANAIR"
"3178","Mesa Air","Airlines","MESA AIR"
"3180","Westjet Airlines","Airlines","WESTJETAIR"
"3181","Malev Hungarian Airlines","Airlines","MALEV AIR"
"3182","LOT-Polish Airlines","Airlines","LOT AIR"
"3183","Oman Aviation Services","Airlines","OMANAIR"
"3184","LIAT","Airlines","LIAT AIRLINE"
"3185","LAV Linea Aeropostal Venezolana","Airlines","LAV AIR"
"3186","LAP Lineas Aereas Paraguayas","Airlines","LAP AIR"
"3187","LACSA (Costa Rica)","Airlines","LACSA AIR"
"3188","Virgin Express","Airlines","VIRGINEXPAIR"
"3190","Jugoslav Air","Airlines","JUGOSLAV AIR"
"3191","Island Airlines","Airlines","ISLAND AIR"
"3193","Indian Airlines","Airlines","INDIAN AIR"
"3196","Hawaiian Air","Airlines","HAWAIIAN AIR"
"3197","Havasu Airlines","Airlines","HAVASU AIR"
"3200","Guyana Airways","Airlines","GUYANA AIR"
"3203","GOLDEN PACIFIC AIR","Airlines","GOLDPAC AIR"
"3204","Freedom Airlines","Airlines","FREEDOM AIR"
"3206","China Eastern Airlines","Airlines","CHINEASTAIR"
"3211","Norwegian Air Shuttle","Airlines","NORWEGIANAIR"
"3212","Dominicana de Aviacion","Airlines","DOMINICA AIR"
"3213","BRAATHENS REGIONAL AIRLINES","Airlines","BRAATHENS REGIONAL AIR"
"3215","DAN AIR SERVICES","Airlines","DANAIRSERV"
"3216","CUMBERLAND AIRLINES","Airlines","CUMBERLNDAIR"
"3217","CSA Ceskoslovenske Aerolinie","Airlines","CSA AIRLINE"
"3218","CROWN AIR","Airlines","CROWN AIR"
"3219","Compania Panamena de Aviacion (Copa)","Airlines","COPA AIR"
"3220","Compania Faucett","Airlines","COMP FAU AIR"
"3221","Transportes Aeros Militares Ecuatorianos","Airlines",
"3222","Command Airways","Airlines","COMMAND AIR"
"3223","Comair","Airlines","COMAIR"
"3226","Skyways","Airlines","SKYWAYS AIR"
"3228","Cayman Airways","Airlines","CAYMANAIR"
"3229","SAETA (Sociedad Ecuatorianas De Transportes Aereo)","Airlines",
"3231","SAHSA (Servicio Aero de Honduras)","Airlines","SAHSA AIR"
